,YYYYMMDD,DR,RH,RHX
434,19310311,53.0,40.0,14.0
435,19310312,23.0,23.0,10.0
436,19310313,0.0,0.0,0.0
437,19310314,0.0,0.0,0.0
438,19310315,0.0,1.0,1.0
439,19310316,0.0,0.0,0.0
440,19310317,0.0,0.0,0.0
441,19310318,0.0,0.0,0.0
442,19310319,0.0,0.0,0.0
443,19310320,0.0,0.0,0.0
444,19310321,0.0,0.0,0.0
445,19310322,0.0,0.0,0.0
446,19310323,0.0,1.0,1.0
447,19310324,0.0,1.0,1.0
448,19310325,0.0,0.0,0.0
449,19310326,0.0,0.0,0.0
450,19310327,0.0,0.0,0.0
451,19310328,12.0,5.0,3.0
452,19310329,0.0,0.0,0.0
453,19310330,0.0,0.0,0.0
454,19310331,0.0,0.0,0.0
455,19310401,0.0,0.0,0.0
456,19310402,0.0,0.0,0.0
457,19310403,0.0,0.0,0.0
458,19310404,34.0,17.0,7.0
459,19310405,40.0,48.0,15.0
460,19310406,17.0,40.0,23.0
461,19310407,2.0,1.0,1.0
462,19310408,0.0,0.0,0.0
463,19310409,13.0,4.0,2.0
464,19310410,21.0,19.0,9.0
465,19310411,0.0,0.0,0.0
466,19310412,2.0,2.0,2.0
467,19310413,18.0,16.0,9.0
468,19310414,2.0,3.0,2.0
469,19310415,0.0,0.0,0.0
470,19310416,1.0,1.0,1.0
471,19310417,81.0,106.0,29.0
472,19310418,2.0,3.0,2.0
473,19310419,89.0,45.0,9.0
474,19310420,28.0,27.0,12.0
475,19310421,0.0,0.0,0.0
476,19310422,2.0,3.0,3.0
477,19310423,4.0,19.0,14.0
478,19310424,4.0,7.0,4.0
479,19310425,43.0,55.0,25.0
480,19310426,20.0,55.0,14.0
481,19310427,62.0,43.0,9.0
482,19310428,59.0,36.0,9.0
483,19310429,30.0,42.0,19.0
484,19310430,1.0,1.0,1.0
485,19310501,0.0,0.0,0.0
486,19310502,11.0,8.0,7.0
487,19310503,44.0,47.0,16.0
488,19310504,19.0,8.0,3.0
489,19310505,0.0,0.0,0.0
490,19310506,0.0,0.0,0.0
491,19310507,109.0,552.0,112.0
492,19310508,0.0,0.0,0.0
493,19310509,0.0,0.0,0.0
494,19310510,0.0,0.0,0.0
495,19310511,0.0,0.0,0.0
496,19310512,0.0,0.0,0.0
497,19310513,1.0,1.0,1.0
498,19310514,3.0,14.0,11.0
499,19310515,7.0,14.0,8.0
500,19310516,13.0,23.0,22.0
501,19310517,88.0,209.0,37.0
502,19310518,0.0,0.0,0.0
503,19310519,1.0,1.0,1.0
504,19310520,0.0,0.0,0.0
505,19310521,6.0,10.0,8.0
506,19310522,18.0,22.0,14.0
507,19310523,0.0,0.0,0.0
508,19310524,0.0,0.0,0.0
509,19310525,0.0,0.0,0.0
510,19310526,0.0,0.0,0.0
511,19310527,33.0,55.0,24.0
512,19310528,2.0,4.0,4.0
513,19310529,5.0,11.0,6.0
514,19310530,3.0,3.0,2.0
515,19310531,35.0,71.0,46.0
516,19310601,16.0,127.0,108.0
517,19310602,0.0,2.0,1.0
518,19310603,6.0,3.0,1.0
519,19310604,0.0,0.0,0.0
520,19310605,0.0,0.0,0.0
521,19310606,57.0,129.0,47.0
522,19310607,51.0,52.0,36.0
523,19310608,54.0,60.0,14.0
524,19310609,38.0,30.0,8.0
525,19310610,14.0,38.0,21.0
526,19310611,0.0,0.0,0.0
527,19310612,0.0,0.0,0.0
528,19310613,0.0,0.0,0.0
529,19310614,13.0,272.0,187.0
530,19310615,12.0,30.0,20.0
531,19310616,0.0,0.0,0.0
532,19310617,0.0,3.0,2.0
533,19310618,0.0,0.0,0.0
534,19310619,9.0,19.0,13.0
535,19310620,3.0,5.0,5.0
536,19310621,0.0,0.0,0.0
537,19310622,0.0,1.0,1.0
538,19310623,0.0,0.0,0.0
539,19310624,1.0,11.0,11.0
540,19310625,0.0,0.0,0.0
541,19310626,0.0,0.0,0.0
542,19310627,0.0,0.0,0.0
543,19310628,0.0,0.0,0.0
544,19310629,0.0,0.0,0.0
545,19310630,0.0,0.0,0.0
546,19310701,0.0,0.0,0.0
547,19310702,1.0,1.0,1.0
548,19310703,0.0,0.0,0.0
549,19310704,0.0,0.0,0.0
550,19310705,3.0,42.0,42.0
551,19310706,25.0,35.0,13.0
552,19310707,27.0,29.0,18.0
553,19310708,24.0,147.0,137.0
554,19310709,46.0,23.0,4.0
555,19310710,3.0,4.0,2.0
556,19310711,0.0,0.0,0.0
557,19310712,3.0,5.0,3.0
558,19310713,10.0,84.0,83.0
559,19310714,10.0,54.0,23.0
560,19310715,68.0,148.0,45.0
561,19310716,17.0,61.0,54.0
562,19310717,39.0,97.0,18.0
563,19310718,33.0,42.0,19.0
564,19310719,45.0,122.0,38.0
565,19310720,8.0,43.0,18.0
566,19310721,7.0,13.0,5.0
567,19310722,0.0,0.0,0.0
568,19310723,0.0,0.0,0.0
569,19310724,0.0,0.0,0.0
570,19310725,13.0,76.0,27.0
571,19310726,52.0,101.0,32.0
572,19310727,22.0,48.0,12.0
573,19310728,12.0,37.0,22.0
574,19310729,10.0,9.0,5.0
575,19310730,3.0,5.0,5.0
576,19310731,0.0,0.0,0.0
577,19310801,0.0,0.0,0.0
578,19310802,0.0,0.0,0.0
579,19310803,0.0,0.0,0.0
580,19310804,30.0,159.0,124.0
581,19310805,8.0,7.0,3.0
582,19310806,8.0,16.0,15.0
583,19310807,0.0,0.0,0.0
584,19310808,24.0,83.0,38.0
585,19310809,14.0,23.0,13.0
586,19310810,38.0,77.0,25.0
587,19310811,23.0,33.0,12.0
588,19310812,5.0,2.0,1.0
589,19310813,24.0,14.0,6.0
590,19310814,9.0,16.0,14.0
591,19310815,8.0,37.0,32.0
592,19310816,13.0,58.0,29.0
593,19310817,5.0,12.0,6.0
594,19310818,0.0,0.0,0.0
595,19310819,79.0,110.0,57.0
596,19310820,0.0,0.0,0.0
597,19310821,30.0,48.0,14.0
598,19310822,6.0,29.0,22.0
599,19310823,3.0,11.0,10.0
600,19310824,0.0,0.0,0.0
601,19310825,42.0,14.0,4.0
602,19310826,0.0,0.0,0.0
603,19310827,0.0,0.0,0.0
604,19310828,0.0,0.0,0.0
605,19310829,0.0,0.0,0.0
606,19310830,0.0,0.0,0.0
607,19310831,0.0,0.0,0.0
608,19310901,0.0,0.0,0.0
609,19310902,1.0,3.0,2.0
610,19310903,2.0,56.0,56.0
611,19310904,23.0,75.0,32.0
612,19310905,83.0,38.0,6.0
613,19310906,23.0,34.0,5.0
614,19310907,10.0,24.0,13.0
615,19310908,4.0,7.0,4.0
616,19310909,6.0,11.0,8.0
617,19310910,0.0,0.0,0.0
618,19310911,0.0,0.0,0.0
619,19310912,21.0,22.0,15.0
620,19310913,8.0,19.0,5.0
621,19310914,0.0,0.0,0.0
622,19310915,0.0,0.0,0.0
623,19310916,0.0,1.0,1.0
624,19310917,3.0,2.0,2.0
625,19310918,0.0,1.0,1.0
626,19310919,5.0,3.0,2.0
627,19310920,3.0,5.0,4.0
628,19310921,3.0,17.0,12.0
629,19310922,3.0,2.0,2.0
630,19310923,0.0,0.0,0.0
631,19310924,0.0,0.0,0.0
632,19310925,13.0,5.0,2.0
633,19310926,0.0,0.0,0.0
634,19310927,0.0,0.0,0.0
635,19310928,12.0,17.0,5.0
636,19310929,0.0,0.0,0.0
637,19310930,0.0,1.0,1.0
638,19311001,0.0,0.0,0.0
639,19311002,23.0,32.0,19.0
640,19311003,0.0,0.0,0.0
641,19311004,0.0,0.0,0.0
642,19311005,4.0,4.0,2.0
643,19311006,0.0,2.0,1.0
644,19311007,57.0,131.0,42.0
645,19311008,1.0,1.0,1.0
646,19311009,0.0,0.0,0.0
647,19311010,0.0,1.0,1.0
648,19311011,0.0,0.0,0.0
649,19311012,0.0,1.0,1.0
650,19311013,0.0,1.0,1.0
651,19311014,1.0,1.0,1.0
652,19311015,0.0,0.0,0.0
653,19311016,0.0,0.0,0.0
654,19311017,0.0,0.0,0.0
655,19311018,0.0,0.0,0.0
656,19311019,0.0,0.0,0.0
657,19311020,5.0,13.0,6.0
658,19311021,8.0,21.0,8.0
659,19311022,0.0,1.0,1.0
660,19311023,0.0,0.0,0.0
661,19311024,24.0,20.0,12.0
662,19311025,0.0,0.0,0.0
663,19311026,0.0,1.0,1.0
664,19311027,0.0,0.0,0.0
665,19311028,5.0,16.0,8.0
666,19311029,24.0,37.0,10.0
667,19311030,49.0,110.0,40.0
668,19311031,4.0,8.0,6.0
669,19311101,6.0,4.0,3.0
670,19311102,0.0,0.0,0.0
671,19311103,0.0,0.0,0.0
672,19311104,7.0,5.0,3.0
673,19311105,29.0,38.0,16.0
674,19311106,8.0,7.0,5.0
675,19311107,32.0,20.0,8.0
676,19311108,0.0,1.0,1.0
677,19311109,38.0,82.0,30.0
678,19311110,23.0,19.0,8.0
679,19311111,40.0,50.0,12.0
680,19311112,0.0,0.0,0.0
681,19311113,0.0,0.0,0.0
682,19311114,0.0,2.0,1.0
683,19311115,0.0,2.0,1.0
684,19311116,0.0,1.0,1.0
685,19311117,0.0,0.0,0.0
686,19311118,0.0,0.0,0.0
687,19311119,0.0,0.0,0.0
688,19311120,0.0,0.0,0.0
689,19311121,0.0,0.0,0.0
690,19311122,1.0,1.0,1.0
691,19311123,0.0,0.0,0.0
692,19311124,60.0,41.0,18.0
693,19311125,0.0,2.0,1.0
694,19311126,45.0,26.0,5.0
695,19311127,20.0,21.0,12.0
696,19311128,61.0,37.0,11.0
697,19311129,5.0,4.0,3.0
698,19311130,0.0,0.0,0.0
699,19311201,0.0,0.0,0.0
700,19311202,0.0,0.0,0.0
701,19311203,36.0,45.0,21.0
702,19311204,19.0,32.0,18.0
703,19311205,16.0,20.0,12.0
704,19311206,3.0,3.0,2.0
705,19311207,0.0,0.0,0.0
706,19311208,0.0,2.0,1.0
707,19311209,13.0,24.0,10.0
708,19311210,37.0,24.0,6.0
709,19311211,1.0,1.0,1.0
710,19311212,0.0,0.0,0.0
711,19311213,3.0,1.0,1.0
712,19311214,0.0,0.0,0.0
713,19311215,5.0,4.0,3.0
714,19311216,0.0,0.0,0.0
715,19311217,0.0,0.0,0.0
716,19311218,6.0,4.0,2.0
717,19311219,0.0,0.0,0.0
718,19311220,12.0,11.0,4.0
719,19311221,0.0,0.0,0.0
720,19311222,0.0,0.0,0.0
721,19311223,0.0,1.0,1.0
722,19311224,35.0,32.0,12.0
723,19311225,16.0,11.0,6.0
724,19311226,13.0,7.0,3.0
725,19311227,0.0,0.0,0.0
726,19311228,31.0,51.0,27.0
727,19311229,22.0,25.0,11.0
728,19311230,48.0,62.0,15.0
729,19311231,0.0,0.0,0.0
730,19320101,15.0,19.0,11.0
731,19320102,50.0,73.0,17.0
732,19320103,38.0,51.0,16.0
733,19320104,0.0,0.0,0.0
734,19320105,0.0,0.0,0.0
735,19320106,121.0,243.0,45.0
736,19320107,14.0,17.0,7.0
737,19320108,0.0,0.0,0.0
738,19320109,0.0,2.0,1.0
739,19320110,0.0,0.0,0.0
740,19320111,28.0,20.0,9.0
741,19320112,24.0,15.0,6.0
742,19320113,29.0,26.0,9.0
743,19320114,0.0,0.0,0.0
744,19320115,3.0,5.0,2.0
745,19320116,0.0,0.0,0.0
746,19320117,5.0,10.0,8.0
747,19320118,0.0,0.0,0.0
748,19320119,7.0,5.0,2.0
749,19320120,0.0,1.0,1.0
750,19320121,0.0,2.0,1.0
751,19320122,0.0,1.0,1.0
752,19320123,0.0,0.0,0.0
753,19320124,0.0,2.0,1.0
754,19320125,0.0,0.0,0.0
755,19320126,0.0,0.0,0.0
756,19320127,0.0,0.0,0.0
757,19320128,0.0,0.0,0.0
758,19320129,0.0,0.0,0.0
759,19320130,0.0,5.0,2.0
760,19320131,0.0,0.0,0.0
761,19320201,4.0,5.0,4.0
762,19320202,2.0,2.0,2.0
763,19320203,3.0,2.0,1.0
764,19320204,7.0,4.0,2.0
765,19320205,1.0,1.0,1.0
766,19320206,0.0,0.0,0.0
767,19320207,0.0,0.0,0.0
768,19320208,5.0,13.0,12.0
769,19320209,5.0,4.0,2.0
770,19320210,0.0,0.0,0.0
771,19320211,0.0,1.0,1.0
772,19320212,0.0,1.0,1.0
